Country,Library,LC Class,1 Holding,2 Holdings,3 Holdings,4 Holdings,5 Holdings,6 Holdings,7 Holdings,8 Holdings,9 Holdings,10 Holdings,11 Holdings,12 Holdings,13 Holdings,14 Holdings,15 Holdings
Argentina,NUI,N,30,12,2,5,3,0,2,2,0,1,0,0,0,0,0
Argentina,NUI,P,1203,344,254,170,165,189,176,163,102,79,45,19,14,2,1
Argentina,NUI,Q,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Argentina,NUI,R,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0
Argentina,NUI,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,NUI,T,6,1,4,1,1,1,1,1,1,0,0,0,0,0,0
Argentina,NUI,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,NUI,V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,NUI,Z,2,2,0,1,1,0,0,2,1,2,0,1,0,0,0
Argentina,UMC,A,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Argentina,UMC,B,1,2,2,1,2,1,1,0,0,0,0,0,0,0,0
Argentina,UMC,C,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Argentina,UMC,D,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0
Argentina,UMC,E,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Argentina,UMC,F,6,14,13,4,7,9,13,18,10,6,3,1,0,0,0
Argentina,UMC,G,1,0,1,0,2,0,2,0,0,1,0,0,0,0,0
Argentina,UMC,H,7,10,9,10,8,15,21,11,7,4,3,0,0,0,0
Argentina,UMC,J,3,1,4,7,6,5,4,3,2,2,0,0,0,0,0
Argentina,UMC,K,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,UMC,L,3,0,2,1,0,1,1,1,0,0,0,0,0,0,0
Argentina,UMC,M,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Argentina,UMC,N,2,1,3,3,0,0,0,2,0,1,0,0,0,0,0
Argentina,UMC,P,50,41,30,33,52,43,46,53,48,54,38,18,14,1,1
